,model,year,price,transmission,mileage,fuelType,tax(£),mpg,engineSize
34, Ioniq,2018,14200,Automatic,40735,Hybrid,135,78.5,1.6
35, I40,2016,8599,Manual,67654,Diesel,30,65.7,1.7
36, Santa Fe,2017,18295,Manual,22531,Diesel,200,47.1,2.2
37, Tucson,2018,15498,Manual,9653,Petrol,150,34.9,1.6
38, I800,2018,15995,Automatic,33244,Diesel,145,28.0,2.5
39, I30,2020,15495,Manual,3363,Petrol,145,44.8,1.0
40, Kona,2019,14750,Manual,13230,Petrol,145,44.1,1.0
41, I10,2017,7000,Manual,27191,Petrol,20,60.1,1.0
42, I30,2016,7498,Manual,56693,Diesel,0,78.4,1.6
43, Tucson,2019,21000,Automatic,14690,Diesel,145,47.1,1.6
44, IX20,2017,9995,Automatic,11211,Petrol,150,43.5,1.6
45, Tucson,2016,15780,Automatic,27867,Diesel,200,47.1,2.0
46, Kona,2018,17495,Manual,19,Petrol,145,44.1,1.0
47, Tucson,2017,14000,Manual,12185,Diesel,145,61.7,1.7
48, Tucson,2019,22750,Automatic,2000,Hybrid,145,50.4,1.6
49, Kona,2018,17495,Manual,30,Petrol,145,44.1,1.0
50, Tucson,2007,2495,Manual,90631,Petrol,300,35.3,2.0
51, Tucson,2017,12998,Manual,24263,Diesel,30,61.7,1.7
52, Tucson,2017,14498,Manual,12811,Diesel,150,61.7,1.7
53, Tucson,2019,21452,Semi-Auto,4371,Diesel,145,47.1,1.6
54, Tucson,2020,22995,Manual,1000,Petrol,145,34.9,1.6
55, Tucson,2017,13998,Manual,13490,Diesel,30,61.7,1.7
56, IX20,2018,10690,Manual,15853,Petrol,150,50.4,1.4
57, I10,2014,5695,Manual,29000,Petrol,30,57.6,1.2
58, Santa Fe,2018,19483,Semi-Auto,33911,Diesel,145,42.8,2.2
59, I10,2020,13495,Manual,1600,Petrol,145,53.3,1.0
60, Kona,2019,21689,Automatic,5155,Hybrid,140,52.3,1.6
61, Tucson,2017,15490,Manual,22798,Diesel,30,61.7,1.7
62, IX20,2016,7995,Manual,32001,Petrol,125,50.4,1.4
63, I10,2017,6950,Manual,33000,Petrol,145,57.7,1.2
64, Tucson,2017,17180,Semi-Auto,30345,Diesel,125,57.6,1.7
65, I20,2017,9991,Manual,16069,Petrol,145,61.4,1.0
66, Tucson,2018,14980,Manual,6124,Petrol,145,44.8,1.6
67, Tucson,2017,13000,Manual,10726,Diesel,150,61.7,1.7
68, I20,2017,7395,Manual,30505,Petrol,30,55.4,1.2
69, I10,2014,5450,Manual,42346,Petrol,20,60.1,1.0
70, Tucson,2017,15728,Semi-Auto,14937,Diesel,125,57.6,1.7
71, Kona,2018,14495,Manual,18474,Petrol,145,52.3,1.0
72, I40,2015,7830,Manual,59508,Diesel,30,65.7,1.7
73, I30,2019,13498,Manual,5449,Petrol,150,45.6,1.0
74, Tucson,2016,10998,Manual,40191,Diesel,30,61.7,1.7
75, Tucson,2018,14943,Manual,8540,Petrol,145,44.8,1.6
76, I30,2016,7998,Manual,41429,Diesel,0,78.4,1.6
77, Tucson,2019,22999,Semi-Auto,3294,Petrol,145,36.2,1.6
78, I10,2018,9495,Semi-Auto,8392,Petrol,145,47.9,1.2
79, Tucson,2017,11290,Manual,22759,Diesel,30,61.7,1.7
80, I10,2020,13290,Manual,1458,Petrol,150,53.3,1.0
81, IX35,2012,5000,Manual,119050,Diesel,150,48.7,1.7
82, Santa Fe,2017,22480,Semi-Auto,26551,Diesel,150,42.8,2.2
83, Ioniq,2018,14995,Automatic,37445,Hybrid,135,78.5,1.6
84, Tucson,2018,13994,Manual,23313,Petrol,145,44.8,1.6
85, Ioniq,2017,13299,Automatic,12790,Hybrid,0,78.5,1.6
86, Ioniq,2019,23995,Automatic,7865,Hybrid,135,78.5,1.6
87, Tucson,2017,13000,Manual,38506,Diesel,30,61.7,1.7
88, Ioniq,2019,17899,Automatic,5167,Hybrid,135,78.5,1.6
89, I10,2019,9491,Manual,4000,Petrol,145,49.6,1.0
90, I10,2017,7000,Manual,11791,Petrol,145,60.1,1.0
91, I10,2019,8670,Manual,8875,Petrol,145,57.6,1.2
92, I10,2018,7990,Manual,31375,Petrol,150,60.1,1.0
93, I40,2015,8495,Manual,22000,Diesel,20,67.3,1.7
94, Kona,2018,12495,Manual,23387,Petrol,145,52.3,1.0
95, I10,2017,7470,Manual,6955,Petrol,145,60.1,1.0
96, Tucson,2018,13990,Manual,19000,Petrol,145,34.9,1.6
97, Tucson,2016,12795,Manual,40766,Diesel,30,61.7,1.7
98, I10,2017,7500,Manual,12717,Petrol,145,60.1,1.0
99, I10,2018,7890,Manual,4500,Petrol,145,60.1,1.0
100, I10,2019,10490,Manual,3052,Petrol,145,60.1,1.0
101, I20,2018,10000,Manual,11629,Petrol,145,55.4,1.2
102, I10,2015,7999,Semi-Auto,20761,Petrol,165,45.6,1.2
103, Tucson,2017,12990,Manual,36000,Diesel,150,61.7,1.7
104, Tucson,2018,13752,Manual,29000,Petrol,145,34.9,1.6
105, I10,2017,7000,Manual,13506,Petrol,20,60.1,1.0
106, Santa Fe,2016,15995,Automatic,42812,Diesel,235,42.2,2.2
107, Tucson,2016,10991,Manual,108000,Diesel,125,58.9,2.0
108, Tucson,2017,12395,Manual,17000,Petrol,150,44.8,1.6
109, I30,2013,5295,Manual,67762,Petrol,160,46.3,1.4
110, Tucson,2017,11360,Manual,41103,Petrol,160,44.8,1.6
111, Ioniq,2019,22680,Semi-Auto,10397,Hybrid,135,78.5,1.6
112, Tucson,2018,14999,Manual,15450,Petrol,150,35.3,1.6
113, Tucson,2017,12398,Manual,12239,Diesel,30,61.7,1.7
114, Kona,2018,13498,Manual,12884,Petrol,145,44.1,1.0
115, I30,2016,8250,Manual,30000,Diesel,0,78.4,1.6
116, Kona,2019,16999,Manual,50,Petrol,145,44.1,1.0
117, Tucson,2017,13795,Manual,10128,Diesel,30,61.7,1.7
118, Tucson,2016,12495,Manual,29293,Diesel,30,61.7,1.7
119, Tucson,2015,10795,Manual,29660,Petrol,160,44.8,1.6
120, Kona,2019,15498,Manual,15,Petrol,145,44.1,1.0
121, Tucson,2017,14995,Semi-Auto,20940,Diesel,125,57.6,1.7
122, Tucson,2017,15250,Manual,18540,Diesel,30,61.7,1.7
123, Santa Fe,2017,18579,Manual,26800,Diesel,145,47.1,2.2
124, IX35,2014,9397,Automatic,44205,Diesel,260,41.5,2.0
125, I20,2017,7485,Manual,21043,Petrol,30,58.9,1.2
126, Tucson,2017,13699,Manual,20462,Diesel,145,61.7,1.7
127, Kona,2019,15000,Manual,14587,Petrol,145,44.1,1.0
128, I30,2019,16797,Manual,5088,Petrol,145,42.2,1.4
129, I30,2019,23970,Manual,20,Petrol,150,34.0,2.0
130, Tucson,2017,14172,Manual,27872,Diesel,30,61.7,1.7
131, IX20,2017,9781,Manual,12803,Petrol,125,50.4,1.4
132, I10,2019,10495,Semi-Auto,5431,Petrol,150,47.9,1.2
133, Tucson,2017,15750,Semi-Auto,19012,Diesel,145,57.6,1.7
134, Tucson,2017,15998,Semi-Auto,15935,Diesel,125,57.6,1.7
135, Tucson,2019,17499,Automatic,10169,Petrol,150,36.2,1.6
136, I10,2018,8190,Manual,2451,Petrol,145,60.1,1.0
137, Santa Fe,2019,31269,Automatic,9970,Diesel,145,39.2,2.2
138, Santa Fe,2013,12245,Semi-Auto,72854,Diesel,260,41.5,2.2
139, IX35,2014,8300,Manual,42630,Diesel,145,53.3,1.7
140, Ioniq,2019,19970,Automatic,8862,Hybrid,135,62.8,1.6
141, I10,2015,7750,Manual,6380,Petrol,30,57.6,1.2
142, I30,2019,14998,Manual,3398,Petrol,145,41.5,1.4
143, Tucson,2017,13998,Manual,17820,Diesel,145,61.7,1.7
144, I20,2013,4250,Manual,68000,Petrol,30,57.6,1.2
145, I30,2019,22995,Manual,3908,Petrol,145,34.0,2.0
146, I10,2018,7690,Manual,8623,Petrol,145,60.1,1.0
147, Ioniq,2019,22000,Automatic,2544,Hybrid,135,62.8,1.6
148, I20,2015,8000,Manual,28000,Petrol,30,55.4,1.2
149, Tucson,2017,13251,Manual,29968,Diesel,30,61.7,1.7
150, I30,2018,11498,Manual,11122,Diesel,145,74.3,1.6
151, IX20,2018,12150,Automatic,10166,Petrol,145,34.5,1.6
152, I30,2015,6700,Manual,42307,Diesel,0,78.4,1.6
153, Tucson,2018,16349,Semi-Auto,9667,Diesel,145,57.6,1.7
154, Kona,2019,15495,Manual,1750,Petrol,145,44.1,1.0
155, Tucson,2017,14500,Manual,30870,Diesel,150,61.7,1.7
156, I10,2015,6750,Manual,18050,Petrol,20,61.4,1.0
157, Tucson,2019,26995,Semi-Auto,12,Diesel,145,46.3,1.6
158, I30,2013,6000,Manual,47246,Petrol,145,47.1,1.4
159, I10,2018,6998,Manual,24152,Petrol,145,60.1,1.0
160, Tucson,2019,15498,Manual,17441,Petrol,145,34.9,1.6
161, Santa Fe,2016,18491,Manual,34284,Diesel,200,47.1,2.2
162, I10,2020,14490,Manual,771,Petrol,145,53.3,1.0
163, IX35,2015,8250,Manual,59238,Diesel,145,54.3,1.7
164, I10,2018,7290,Manual,12666,Petrol,145,60.1,1.0
165, Tucson,2017,13499,Manual,25089,Diesel,145,61.7,1.7
166, I40,2016,9995,Manual,32309,Diesel,20,67.3,1.7
167, I800,2019,23995,Manual,1200,Diesel,145,31.7,2.5
168, IX20,2016,7798,Manual,36242,Petrol,125,50.4,1.4
169, I10,2016,5991,Manual,37000,Petrol,20,61.4,1.0
170, I40,2017,11485,Manual,17393,Diesel,145,65.7,1.7
171, I10,2019,8990,Manual,3000,Petrol,145,49.6,1.0
172, Santa Fe,2020,36999,Automatic,2885,Diesel,145,39.2,2.2
173, I10,2019,8995,Manual,5000,Petrol,145,60.1,1.0
174, I800,2016,13110,Automatic,53292,Diesel,330,33.6,2.5
175, Santa Fe,2017,19990,Semi-Auto,38202,Diesel,150,42.8,2.2
176, I10,2018,8495,Manual,18406,Petrol,145,57.7,1.2
177, Tucson,2017,12498,Manual,22981,Diesel,145,61.7,1.7
178, I10,2017,6970,Manual,18044,Petrol,145,60.1,1.0
179, Tucson,2016,14495,Automatic,26600,Diesel,200,47.1,2.0
180, Tucson,2017,17695,Automatic,12730,Diesel,145,47.1,2.0
181, Ioniq,2018,16990,Automatic,12306,Hybrid,140,78.5,1.6
182, I20,2017,8500,Manual,18281,Petrol,30,55.4,1.2
183, I10,2017,8250,Manual,7808,Petrol,30,57.7,1.2
184, IX20,2016,8399,Manual,19999,Petrol,125,50.4,1.4
185, I30,2016,10270,Semi-Auto,15850,Diesel,20,72.4,1.6
186, IX20,2017,11199,Automatic,4076,Petrol,145,43.5,1.6
187, I20,2017,8880,Automatic,37101,Petrol,145,45.6,1.4
188, I10,2018,10300,Manual,6349,Petrol,145,57.6,0.0
189, Santa Fe,2017,19470,Semi-Auto,39589,Diesel,240,42.8,2.2
190, I20,2018,7698,Manual,30012,Petrol,145,55.4,0.0
191, I10,2016,6000,Manual,37721,Petrol,20,60.1,1.0
192, Santa Fe,2015,15650,Automatic,54991,Diesel,265,41.5,2.2
193, Tucson,2017,12490,Manual,45579,Diesel,30,61.7,1.7
194, I10,2017,6989,Manual,20945,Petrol,145,60.1,1.0
195, I10,2018,7999,Manual,4245,Petrol,145,60.1,1.0
196, I10,2017,7600,Manual,15618,Petrol,145,60.1,1.0
197, Kona,2018,13647,Manual,19036,Petrol,145,52.3,1.0
198, IX20,2018,11091,Manual,14952,Diesel,150,64.2,1.6
199, I10,2018,8349,Manual,10918,Petrol,150,60.1,1.0
200, Tucson,2018,13799,Manual,16346,Diesel,145,61.7,1.7
201, I30,2015,5750,Manual,51605,Diesel,0,76.3,1.6
202, I10,2018,9495,Semi-Auto,7957,Petrol,145,47.9,1.2
203, Tucson,2018,13491,Manual,7719,Petrol,145,44.8,1.6
204, I30,2015,8250,Manual,29980,Diesel,0,78.4,1.6
205, Tucson,2016,14995,Manual,25233,Diesel,30,61.7,1.7
206, I10,2017,8295,Manual,4028,Petrol,150,60.1,1.0
207, Tucson,2017,11160,Manual,22068,Diesel,30,61.7,1.7
208, Kona,2018,13698,Manual,3353,Petrol,145,44.1,1.0
209, I20,2017,9995,Manual,15500,Petrol,20,62.8,1.0
210, I40,2017,11470,Manual,14799,Diesel,150,67.3,1.7
211, Santa Fe,2016,19495,Automatic,10317,Diesel,235,42.8,2.2
212, I30,2015,4492,Manual,124000,Diesel,0,78.4,1.6
213, I10,2020,11491,Manual,101,Petrol,145,56.5,1.0
214, I30,2017,11995,Semi-Auto,19000,Petrol,145,51.4,1.4
215, Tucson,2017,18495,Manual,20829,Diesel,125,54.3,2.0
216, I30,2015,8979,Automatic,28828,Petrol,205,41.5,1.6
217, Tucson,2018,15499,Manual,7894,Petrol,145,34.9,1.6
218, Tucson,2020,22495,Manual,50,Petrol,145,34.9,1.6
219, I800,2018,15280,Automatic,29746,Diesel,145,31.7,2.5
220, IX20,2017,9795,Manual,10279,Petrol,145,50.4,1.4
221, I20,2016,8250,Manual,23916,Petrol,20,62.8,1.0
222, I10,2018,7185,Manual,20189,Petrol,145,60.1,1.0
223, I10,2016,6600,Manual,16751,Petrol,30,57.6,1.2
224, Tucson,2017,10950,Manual,30531,Diesel,30,61.7,1.7
225, I30,2016,8998,Manual,26225,Petrol,150,48.7,1.4
226, I40,2016,10498,Manual,26775,Diesel,30,65.7,1.7
227, Santa Fe,2019,40365,Semi-Auto,1,Diesel,145,39.2,2.2
228, I10,2017,6991,Manual,14931,Petrol,145,60.1,1.0
229, I10,2017,7500,Manual,3379,Petrol,20,60.1,1.0
230, Santa Fe,2002,1200,Manual,94000,Petrol,325,30.4,2.4
231, I40,2015,9495,Semi-Auto,61919,Diesel,125,56.5,1.7
232, I10,2018,10495,Semi-Auto,8168,Petrol,145,47.9,1.2
233, I10,2017,7995,Manual,25000,Petrol,145,60.1,1.0
234, Kona,2018,12490,Manual,10452,Petrol,145,44.1,1.0
235, I10,2017,7500,Manual,28076,Petrol,145,57.7,1.2
236, I20,2014,5500,Manual,31946,Petrol,30,57.6,1.2
237, IX20,2017,9995,Manual,13510,Petrol,145,50.4,1.4
238, IX20,2017,8940,Manual,12417,Petrol,125,50.4,1.4
239, Kona,2018,12394,Manual,20414,Petrol,145,52.3,1.0
240, I20,2013,4995,Manual,28448,Petrol,30,57.6,1.2
241, Tucson,2019,17697,Manual,5,Petrol,145,34.9,1.6
242, I20,2017,8990,Manual,13600,Petrol,30,55.4,1.2
243, Tucson,2018,16295,Automatic,34719,Diesel,145,47.1,2.0
244, Santa Fe,2019,32995,Semi-Auto,30,Diesel,145,40.9,2.2
245, Santa Fe,2018,29000,Semi-Auto,19935,Diesel,145,39.2,2.2
246, Kona,2018,12998,Manual,9133,Petrol,145,52.3,1.0
247, I30,2018,12700,Manual,8404,Diesel,145,74.3,1.6
248, Tucson,2017,21354,Semi-Auto,35043,Diesel,125,57.6,1.7
249, IX20,2013,5800,Manual,45016,Petrol,145,45.6,1.4
250, Tucson,2019,15692,Manual,15299,Petrol,150,35.3,1.6
251, Tucson,2017,16995,Manual,21431,Diesel,145,58.9,2.0
252, Ioniq,2019,15698,Automatic,32975,Hybrid,140,78.5,1.6
253, I10,2018,8995,Manual,24021,Petrol,145,57.7,1.2
254, Tucson,2019,17995,Manual,18241,Diesel,145,48.7,1.6
255, Tucson,2016,15995,Automatic,8000,Diesel,125,57.6,1.7
256, I10,2018,7987,Manual,7096,Petrol,145,57.7,1.2
257, Tucson,2017,13695,Manual,32223,Diesel,30,61.7,1.7
258, I30,2020,25995,Manual,1045,Petrol,145,34.0,2.0
259, I10,2017,7600,Manual,32412,Petrol,145,60.1,1.0
260, I10,2015,5998,Semi-Auto,41835,Petrol,30,47.9,1.2
261, I10,2016,6300,Manual,17272,Petrol,20,61.4,0.0
262, Tucson,2015,13995,Manual,60230,Diesel,200,47.9,2.0
263, I10,2019,7495,Manual,10560,Petrol,145,60.1,1.0
264, Tucson,2016,11998,Manual,41350,Diesel,30,61.7,1.7
265, Tucson,2018,17998,Manual,7874,Diesel,145,48.7,1.6
266, I10,2014,6000,Manual,31500,Petrol,30,57.6,1.2
267, I30,2018,10375,Manual,34153,Petrol,145,54.3,1.0
268, Tucson,2019,22690,Manual,6222,Hybrid,145,48.7,1.6
269, I30,2015,8490,Manual,28737,Petrol,145,48.7,1.4
270, Tucson,2019,17995,Manual,11341,Petrol,145,34.9,1.6
271, I20,2015,7995,Automatic,34712,Petrol,160,42.2,1.4
272, I20,2017,10498,Automatic,6264,Petrol,165,45.6,1.4
273, I800,2018,15495,Manual,32997,Diesel,145,37.7,2.5
274, I20,2018,11795,Manual,3792,Petrol,145,46.3,1.2
275, I10,2017,6995,Manual,27604,Petrol,150,60.1,1.0
276, I10,2018,8200,Manual,9209,Petrol,145,57.6,1.2
277, I20,2018,10595,Manual,10960,Petrol,145,46.3,1.2
278, I800,2018,15794,Automatic,35460,Diesel,145,28.0,2.5
279, Tucson,2017,14100,Semi-Auto,27299,Diesel,145,57.6,1.7
280, I10,2017,7695,Manual,17500,Petrol,30,57.7,1.2
281, I20,2018,9985,Automatic,20796,Petrol,145,45.6,1.4
282, I20,2016,8300,Manual,14646,Petrol,30,58.9,1.2
283, I20,2015,7433,Manual,26846,Petrol,125,51.4,1.4
284, Kona,2018,12999,Manual,24364,Petrol,150,52.3,1.0
285, I10,2017,6660,Manual,18732,Petrol,145,60.1,1.0
286, Tucson,2018,13690,Manual,18000,Petrol,145,44.8,1.6
287, I10,2015,4495,Manual,42910,Petrol,20,60.1,1.0
288, I10,2019,10790,Manual,50,Petrol,145,49.6,1.0
289, I800,2019,19998,Automatic,1477,Diesel,145,31.7,2.5
290, Tucson,2017,14300,Manual,30906,Diesel,145,61.4,1.7
291, I10,2017,7695,Manual,7913,Petrol,20,60.1,1.0
292, Tucson,2020,18798,Manual,1250,Petrol,145,34.9,1.6
293, I10,2013,4120,Manual,42186,Petrol,20,61.4,1.2
294, Tucson,2016,12498,Manual,58791,Diesel,30,61.7,1.7
295, I20,2017,8995,Manual,5000,Petrol,145,65.7,1.0
296, I10,2017,6490,Manual,26908,Petrol,20,60.1,1.0
297, Tucson,2017,16800,Manual,21875,Petrol,145,38.7,1.6
298, Amica,2007,1750,Automatic,53000,Petrol,160,46.3,1.1
299, Tucson,2018,17750,Semi-Auto,8300,Petrol,150,39.8,1.6
300, I10,2010,3795,Manual,41000,Petrol,30,56.5,1.2
301, I800,2016,13990,Manual,30283,Diesel,300,37.7,2.5
302, IX35,2015,9495,Manual,46000,Diesel,145,53.3,1.7
303, Ioniq,2019,17495,Automatic,14368,Hybrid,135,78.5,1.6
304, I10,2018,7518,Manual,10512,Petrol,145,60.1,1.0
305, I30,2019,20970,Manual,20,Petrol,150,34.9,2.0
306, Kona,2019,15498,Manual,10,Petrol,145,44.1,1.0
307, I10,2018,7000,Manual,30001,Petrol,145,57.7,1.2
308, I40,2014,7880,Manual,66600,Diesel,150,55.4,1.7
309, I20,2014,5499,Manual,22614,Petrol,30,57.6,1.2
310, I30,2018,9998,Manual,12130,Petrol,145,57.7,1.0
311, Kona,2017,12470,Manual,22300,Diesel,150,74.3,1.0
312, Tucson,2019,15498,Manual,16553,Petrol,145,34.9,1.6
313, I30,2020,17999,Manual,6000,Diesel,150,60.1,1.6
314, I10,2016,5191,Manual,28224,Petrol,20,61.4,1.0
315, Kona,2018,12500,Manual,29920,Petrol,145,52.3,1.0
316, I20,2017,7900,Manual,23921,Petrol,145,58.9,1.2
317, I30,2019,21999,Manual,8259,Petrol,145,34.0,2.0
318, I10,2018,7590,Manual,13799,Petrol,145,57.7,1.2
319, Tucson,2016,13399,Automatic,31828,Diesel,125,57.6,1.7
320, I20,2017,8990,Manual,23434,Petrol,145,55.4,1.2
321, I20,2018,12500,Automatic,6394,Petrol,145,49.6,1.0
322, Santa Fe,2015,14000,Automatic,43450,Diesel,265,41.5,2.2
323, Santa Fe,2017,20999,Semi-Auto,16686,Diesel,235,42.8,2.2
324, Tucson,2017,16995,Other,25915,Petrol,145,39.8,1.6
325, Kona,2018,12498,Manual,23001,Petrol,145,52.3,1.0
326, I30,2015,6500,Manual,41000,Diesel,0,78.4,1.6
327, I10,2019,10295,Manual,4687,Petrol,145,49.6,1.0
328, Tucson,2016,11998,Manual,40457,Diesel,30,61.7,1.7
329, IX20,2015,7498,Manual,34123,Petrol,125,50.4,1.4
330, Ioniq,2019,22970,Automatic,6000,Hybrid,135,62.8,1.6
331, I30,2015,6981,Manual,53825,Diesel,0,78.4,1.6
332, Kona,2019,14995,Manual,17715,Petrol,145,44.1,1.0
333, Kona,2018,13649,Manual,10761,Petrol,145,44.1,1.0
334, Tucson,2016,11295,Manual,40800,Diesel,30,61.7,1.7
335, Ioniq,2019,19538,Automatic,7603,Hybrid,135,78.5,1.6
336, I30,2016,8900,Manual,17000,Diesel,0,78.4,1.6
337, I20,2016,6995,Manual,41607,Petrol,30,58.9,1.2
338, I10,2018,9000,Semi-Auto,26405,Petrol,145,47.9,1.2
339, Kona,2019,23290,Automatic,1486,Hybrid,135,52.3,1.6
340, Tucson,2017,13485,Manual,34498,Diesel,30,61.7,1.7
341, Ioniq,2017,14500,Automatic,43912,Hybrid,135,78.5,1.6
342, Tucson,2017,12998,Manual,8133,Diesel,30,61.7,1.7
343, I10,2016,6495,Manual,25026,Petrol,20,61.4,1.0
344, I30,2018,18490,Manual,29225,Petrol,150,34.0,2.0
345, Tucson,2015,11999,Manual,38973,Diesel,125,58.9,2.0
346, Tucson,2017,15495,Semi-Auto,20996,Diesel,125,57.6,1.7
347, Ioniq,2020,21695,Automatic,3000,Hybrid,135,62.8,1.6
348, I30,2013,5499,Manual,58000,Diesel,0,76.3,1.6
349, Tucson,2019,17850,Semi-Auto,4779,Petrol,150,36.2,1.6
350, I10,2019,8495,Manual,4217,Petrol,145,60.1,1.0
351, Santa Fe,2016,20995,Manual,19454,Diesel,200,47.1,2.2
352, IX35,2015,12500,Automatic,24128,Diesel,260,41.5,2.0
353, Tucson,2018,13985,Manual,15563,Diesel,150,61.7,1.7
354, Tucson,2019,18995,Manual,14618,Petrol,145,34.9,1.6
355, I20,2018,8500,Manual,28998,Petrol,145,55.4,1.2
356, I30,2020,26999,Manual,1472,Petrol,145,34.0,2.0
357, Tucson,2016,12163,Manual,21014,Diesel,30,61.7,1.7
358, I10,2019,9295,Manual,2000,Petrol,145,49.6,1.0
359, I30,2014,6995,Manual,34500,Petrol,160,46.3,1.4
360, Ioniq,2016,13685,Automatic,13695,Hybrid,0,78.5,1.6
361, IX20,2012,5790,Manual,45566,Petrol,145,45.6,1.4
362, I10,2017,6000,Manual,43233,Petrol,145,57.7,1.2
363, I10,2017,9495,Semi-Auto,12000,Petrol,150,47.9,1.2
364, Kona,2018,18290,Semi-Auto,11446,Petrol,145,42.2,1.6
365, Tucson,2018,12698,Manual,29268,Diesel,150,61.7,1.7
366, I30,2016,9498,Manual,24109,Petrol,145,48.7,1.4
367, Santa Fe,2017,20495,Manual,22919,Diesel,200,47.1,2.2
368, Tucson,2017,13995,Manual,16030,Diesel,30,61.7,1.7
369, I30,2016,8990,Manual,33466,Diesel,0,78.4,1.6
370, I10,2017,7495,Manual,6500,Petrol,145,57.7,1.2
371, Ioniq,2018,17750,Semi-Auto,6897,Hybrid,135,78.5,1.6
372, Kona,2019,23000,Semi-Auto,50,Petrol,145,37.7,1.6
373, I10,2015,6490,Manual,14787,Petrol,30,57.6,1.2
374, Tucson,2020,22995,Manual,1334,Petrol,145,34.9,1.6
375, I20,2017,9080,Manual,22851,Petrol,145,55.4,1.2
376, Santa Fe,2014,14995,Semi-Auto,60500,Diesel,260,41.5,2.2
377, Tucson,2018,17295,Semi-Auto,40404,Diesel,145,57.6,1.7
378, Kona,2018,12998,Manual,7910,Petrol,145,52.3,1.0
379, I20,2017,7999,Manual,44120,Petrol,150,62.8,1.0
380, Tucson,2019,20990,Manual,100,Petrol,145,35.3,1.6
381, I800,2018,15998,Manual,36815,Diesel,145,28.0,2.5
382, I20,2019,12490,Manual,310,Petrol,145,46.3,1.2
383, Kona,2019,13849,Manual,10384,Petrol,145,44.1,1.0
384, I800,2018,16459,Manual,33610,Diesel,145,31.7,2.5
385, Tucson,2018,16651,Semi-Auto,12170,Diesel,145,57.6,1.7
386, I30,2018,10998,Manual,14927,Petrol,145,56.5,1.0
387, I10,2017,9680,Automatic,10913,Petrol,145,47.9,1.2
388, I20,2016,7995,Manual,23500,Petrol,20,58.9,1.0
389, I20,2018,10985,Manual,16777,Petrol,150,55.4,1.2
390, I10,2019,9989,Manual,10,Petrol,145,49.6,1.0
391, I10,2014,7700,Automatic,8646,Petrol,160,45.6,0.0
392, Tucson,2017,14298,Semi-Auto,35828,Diesel,125,57.6,1.7
393, Tucson,2017,15849,Manual,24662,Diesel,145,61.4,1.7
394, I10,2016,6799,Manual,8340,Petrol,20,60.1,1.0
395, I10,2018,7995,Manual,25000,Petrol,145,57.7,1.2
396, I10,2013,4500,Manual,25919,Petrol,20,61.4,1.2
397, IX20,2017,8000,Manual,14554,Petrol,125,50.4,1.4
398, Ioniq,2018,16298,Automatic,27452,Hybrid,135,78.5,1.6
399, I20,2016,9000,Manual,14000,Petrol,20,62.8,1.0
400, I20,2017,8500,Manual,16708,Petrol,145,58.9,0.0
