,model,year,price,transmission,mileage,fuelType,engineSize
44, C Class,2019,24980,Semi-Auto,2072,Petrol,2.0
45, C Class,2019,25349,Semi-Auto,9172,Petrol,1.5
46, C Class,2016,17299,Automatic,52400,Diesel,2.1
47, C Class,2016,18950,Automatic,32720,Diesel,2.1
48, C Class,2017,14990,Semi-Auto,76982,Hybrid,2.0
49, C Class,2019,19690,Automatic,13337,Diesel,2.0
50, C Class,2019,24495,Semi-Auto,15674,Diesel,1.6
51, C Class,2019,34799,Semi-Auto,1941,Diesel,2.0
52, C Class,2019,28799,Automatic,3489,Petrol,1.6
53, C Class,2019,23290,Automatic,4693,Petrol,1.5
54, C Class,2019,27790,Automatic,5617,Diesel,2.0
55, C Class,2019,24899,Semi-Auto,12437,Petrol,1.5
56, C Class,2011,7995,Automatic,83000,Petrol,1.8
57, C Class,2014,11750,Semi-Auto,77043,Diesel,2.1
58, C Class,2019,29899,Semi-Auto,8601,Diesel,2.0
59, C Class,2016,19599,Semi-Auto,68770,Hybrid,2.1
60, C Class,2019,31199,Automatic,4842,Petrol,1.5
61, C Class,2019,68399,Semi-Auto,1282,Petrol,4.0
62, C Class,2017,21000,Semi-Auto,19566,Diesel,2.1
63, C Class,2017,21998,Semi-Auto,15935,Diesel,2.1
64, C Class,2017,59740,Automatic,21800,Petrol,4.0
65, C Class,2017,33000,Semi-Auto,10439,Petrol,3.0
66, C Class,2019,29949,Automatic,2323,Petrol,2.0
67, C Class,2017,16202,Automatic,67665,Diesel,2.1
68, C Class,2019,23490,Semi-Auto,10530,Petrol,1.5
69, C Class,2013,11552,Automatic,43500,Petrol,1.6
70, C Class,2019,30889,Automatic,8500,Diesel,2.0
71, C Class,2019,25495,Semi-Auto,12382,Petrol,1.5
72, C Class,2017,21998,Semi-Auto,11986,Petrol,2.0
73, C Class,2019,23900,Semi-Auto,14755,Petrol,1.5
74, C Class,2015,15995,Automatic,52000,Diesel,2.1
75, C Class,2019,28990,Automatic,3635,Diesel,2.0
76, C Class,2018,22949,Automatic,10577,Petrol,1.5
77, C Class,2019,28299,Semi-Auto,5005,Diesel,2.0
78, C Class,2019,30749,Semi-Auto,2000,Petrol,2.0
79, C Class,2017,16999,Manual,12146,Diesel,1.6
80, C Class,2017,16500,Manual,9793,Petrol,2.0
81, C Class,2019,67699,Automatic,544,Petrol,4.0
82, C Class,2019,25899,Semi-Auto,11151,Petrol,1.5
83, C Class,2019,34039,Semi-Auto,1000,Petrol,1.5
84, C Class,2016,17443,Semi-Auto,55877,Diesel,2.1
85, C Class,2016,16199,Automatic,35822,Diesel,2.1
86, C Class,2019,26249,Semi-Auto,10785,Diesel,2.0
87, C Class,2019,31990,Automatic,20,Petrol,1.5
88, C Class,2017,23980,Automatic,24265,Diesel,2.1
89, C Class,2015,20999,Automatic,20000,Diesel,2.1
90, C Class,2015,12490,Manual,68600,Diesel,2.1
91, C Class,2019,30799,Automatic,1812,Petrol,1.5
92, C Class,2019,35880,Automatic,10444,Diesel,2.0
93, C Class,2016,20490,Semi-Auto,10542,Petrol,2.0
94, C Class,2017,19500,Automatic,42157,Diesel,2.1
95, C Class,2019,24399,Semi-Auto,15028,Petrol,1.5
96, C Class,2019,29903,Automatic,1664,Diesel,2.0
97, C Class,2014,11791,Semi-Auto,42879,Diesel,2.1
98, C Class,2017,24498,Automatic,21650,Diesel,2.1
99, C Class,2019,27950,Semi-Auto,6004,Diesel,2.0
100, C Class,2019,25699,Semi-Auto,6184,Petrol,1.5
101, C Class,2019,23980,Semi-Auto,13864,Diesel,2.0
102, C Class,2019,32069,Semi-Auto,1000,Diesel,2.0
103, C Class,2016,13499,Manual,55154,Diesel,1.6
104, C Class,2016,18249,Automatic,36077,Diesel,2.1
105, C Class,2018,27622,Semi-Auto,8984,Petrol,1.5
106, C Class,2018,29498,Semi-Auto,6198,Diesel,2.0
107, C Class,2019,29889,Automatic,980,Diesel,2.0
108, C Class,2020,30500,Semi-Auto,100,Diesel,2.0
109, C Class,2015,16990,Semi-Auto,11954,Diesel,2.1
110, C Class,2019,27980,Semi-Auto,9731,Diesel,2.0
111, C Class,2016,21991,Semi-Auto,26483,Diesel,2.1
112, C Class,2016,18995,Semi-Auto,38305,Diesel,2.1
113, C Class,2018,39249,Automatic,7297,Petrol,3.0
114, C Class,2017,15872,Manual,30000,Petrol,2.0
115, C Class,2019,24249,Semi-Auto,15764,Petrol,1.5
116, C Class,2019,24999,Automatic,6064,Diesel,2.0
117, C Class,2019,30249,Semi-Auto,10525,Diesel,2.0
118, C Class,2019,35399,Semi-Auto,1152,Petrol,1.5
119, C Class,2016,13295,Automatic,90980,Hybrid,2.0
120, C Class,2019,25338,Semi-Auto,12566,Diesel,1.6
121, C Class,2019,30492,Automatic,3592,Petrol,2.0
122, C Class,2019,34255,Semi-Auto,2088,Petrol,2.0
123, C Class,2017,45480,Semi-Auto,11018,Petrol,4.0
124, C Class,2019,23250,Automatic,15349,Diesel,2.0
125, C Class,2019,21099,Semi-Auto,4535,Petrol,1.5
126, C Class,2016,17998,Semi-Auto,36587,Hybrid,2.0
127, C Class,2017,18299,Semi-Auto,35431,Diesel,2.1
128, C Class,2014,13290,Semi-Auto,46078,Petrol,2.0
129, C Class,2016,15485,Automatic,58468,Hybrid,2.0
130, C Class,2017,19399,Automatic,47053,Diesel,2.1
131, C Class,2019,25949,Semi-Auto,10272,Petrol,1.5
132, C Class,2019,29990,Automatic,12986,Diesel,2.0
133, C Class,2019,32950,Automatic,3061,Petrol,2.0
134, C Class,2017,22480,Semi-Auto,19560,Diesel,2.1
135, C Class,2019,29450,Automatic,7275,Diesel,2.0
136, C Class,2018,26799,Semi-Auto,7466,Petrol,2.0
137, C Class,2016,20000,Automatic,23676,Hybrid,2.0
138, C Class,2019,29498,Automatic,1000,Petrol,1.5
139, C Class,2019,20349,Semi-Auto,14012,Petrol,1.5
140, C Class,2019,41949,Semi-Auto,8315,Petrol,3.0
141, C Class,2017,46995,Semi-Auto,24347,Petrol,4.0
142, C Class,2019,35891,Automatic,4167,Diesel,2.0
143, C Class,2019,42049,Semi-Auto,6071,Petrol,3.0
144, C Class,2019,26589,Automatic,3070,Diesel,1.6
145, C Class,2019,32298,Automatic,4040,Petrol,1.6
146, C Class,2019,20980,Semi-Auto,13253,Diesel,2.0
147, C Class,2019,41499,Semi-Auto,8116,Petrol,3.0
148, C Class,2014,16999,Semi-Auto,33593,Diesel,2.1
149, C Class,2019,49780,Automatic,5654,Petrol,4.0
150, C Class,2018,19999,Automatic,25396,Diesel,2.1
151, C Class,2019,26780,Semi-Auto,10340,Diesel,2.0
152, C Class,2018,24499,Semi-Auto,9304,Diesel,1.6
153, C Class,2016,15975,Manual,37419,Petrol,2.0
154, C Class,2016,20895,Semi-Auto,35999,Diesel,2.1
155, C Class,2016,19000,Automatic,32743,Hybrid,2.0
156, C Class,2017,37199,Semi-Auto,5376,Petrol,3.0
157, C Class,2002,1295,Automatic,82700,Diesel,2.7
158, C Class,2016,16450,Automatic,70000,Diesel,2.1
159, C Class,2016,21133,Semi-Auto,46080,Diesel,2.1
160, C Class,2018,26281,Semi-Auto,10997,Diesel,2.1
161, C Class,2017,18691,Automatic,48618,Diesel,2.1
162, C Class,2016,21000,Automatic,21547,Diesel,2.1
163, C Class,2017,22498,Semi-Auto,20491,Hybrid,2.1
164, C Class,2019,31449,Semi-Auto,1000,Diesel,1.6
165, C Class,2019,59830,Automatic,6234,Petrol,4.0
166, C Class,2019,24999,Semi-Auto,6330,Petrol,1.5
167, C Class,2018,19000,Automatic,23280,Petrol,2.0
168, C Class,2018,22480,Semi-Auto,10339,Diesel,2.1
169, C Class,2019,28999,Semi-Auto,14366,Diesel,2.0
170, C Class,2016,18150,Semi-Auto,41356,Diesel,2.1
171, C Class,2016,20299,Semi-Auto,6605,Petrol,2.0
172, C Class,2020,34500,Semi-Auto,100,Diesel,2.0
173, C Class,2019,60859,Semi-Auto,1000,Petrol,4.0
174, C Class,2017,17900,Automatic,13492,Diesel,2.1
175, C Class,2019,26599,Semi-Auto,12961,Petrol,1.5
176, C Class,2019,28390,Semi-Auto,7050,Petrol,2.0
177, C Class,2018,21000,Semi-Auto,16424,Diesel,2.1
178, C Class,2019,24980,Semi-Auto,4238,Petrol,1.5
179, C Class,2019,33799,Semi-Auto,2014,Diesel,2.0
180, C Class,2012,7495,Automatic,115000,Diesel,2.1
181, C Class,2012,8990,Automatic,91000,Diesel,2.1
182, C Class,2017,20799,Automatic,40355,Petrol,2.0
183, C Class,2019,20199,Semi-Auto,11381,Petrol,1.5
184, C Class,2017,21750,Automatic,16750,Diesel,2.1
185, C Class,2019,29950,Automatic,4951,Diesel,2.0
186, C Class,2016,40995,Automatic,30187,Petrol,4.0
187, C Class,2018,27698,Semi-Auto,10579,Diesel,2.0
188, C Class,2016,16562,Automatic,49126,Hybrid,2.0
189, C Class,2017,22980,Semi-Auto,22894,Petrol,2.0
190, C Class,2019,34399,Semi-Auto,3353,Diesel,2.0
191, C Class,2019,31995,Automatic,2568,Petrol,2.0
192, C Class,2019,25795,Semi-Auto,12986,Diesel,2.0
193, C Class,2016,18150,Semi-Auto,41356,Diesel,2.1
194, C Class,2020,34900,Semi-Auto,3478,Petrol,2.0
195, C Class,2017,17488,Automatic,29645,Petrol,2.0
196, C Class,2016,16990,Automatic,29000,Diesel,2.1
197, C Class,2015,13995,Automatic,96000,Diesel,2.1
198, C Class,2019,30399,Semi-Auto,3964,Petrol,2.0
199, C Class,2019,29782,Automatic,7859,Petrol,2.0
200, C Class,2015,24500,Automatic,91639,Petrol,4.0
201, C Class,2019,29999,Semi-Auto,13109,Diesel,2.0
202, C Class,2019,25399,Semi-Auto,13654,Petrol,1.5
203, C Class,2018,18171,Semi-Auto,35517,Petrol,2.0
204, C Class,2019,28995,Automatic,3500,Diesel,2.0
205, C Class,2017,19480,Semi-Auto,31822,Hybrid,2.0
206, C Class,2019,35740,Semi-Auto,20016,Petrol,3.0
207, C Class,2019,24299,Automatic,5098,Petrol,1.5
208, C Class,2016,13800,Automatic,69505,Diesel,2.1
209, C Class,2019,20299,Semi-Auto,14316,Petrol,1.5
210, C Class,2017,15700,Automatic,40285,Diesel,2.1
211, C Class,2020,31900,Automatic,5000,Diesel,2.0
212, C Class,2017,17890,Automatic,36000,Petrol,2.0
213, C Class,2019,28990,Automatic,3569,Diesel,2.0
214, C Class,2020,33980,Semi-Auto,16,Diesel,2.0
215, C Class,2019,21749,Automatic,5184,Petrol,1.5
216, C Class,2020,33800,Semi-Auto,2406,Petrol,1.5
217, C Class,2017,20998,Semi-Auto,42036,Diesel,2.1
218, C Class,2017,18450,Semi-Auto,35000,Hybrid,2.0
219, C Class,2019,29950,Semi-Auto,9613,Diesel,2.0
220, C Class,2018,23249,Automatic,8796,Petrol,1.5
221, C Class,2018,26000,Semi-Auto,19800,Petrol,2.0
222, C Class,2017,20700,Automatic,23434,Petrol,2.0
223, C Class,2016,18495,Semi-Auto,30000,Hybrid,2.1
224, C Class,2015,14699,Automatic,69037,Hybrid,2.1
225, C Class,2016,22680,Semi-Auto,28535,Diesel,2.1
226, C Class,2019,24849,Semi-Auto,5000,Petrol,1.5
227, C Class,2016,21000,Semi-Auto,22156,Diesel,2.1
228, C Class,2019,20449,Semi-Auto,13865,Diesel,2.0
229, C Class,2019,30399,Semi-Auto,9829,Diesel,2.0
230, C Class,2016,16250,Automatic,23196,Diesel,1.6
231, C Class,2019,41491,Automatic,2430,Diesel,2.0
232, C Class,2019,36980,Semi-Auto,8610,Petrol,3.0
233, C Class,2017,20000,Automatic,39268,Diesel,2.1
234, C Class,2015,14313,Automatic,50211,Diesel,2.1
235, C Class,2017,20800,Automatic,23063,Diesel,2.1
236, C Class,2018,19490,Semi-Auto,11810,Diesel,2.1
237, C Class,2017,16400,Automatic,31681,Diesel,2.1
238, C Class,2019,25449,Semi-Auto,13280,Petrol,1.5
239, C Class,2019,29900,Automatic,6000,Petrol,2.0
240, C Class,2018,21999,Automatic,20892,Petrol,2.0
241, C Class,2013,10490,Automatic,50000,Diesel,2.1
242, C Class,2017,16481,Semi-Auto,43678,Diesel,2.1
243, C Class,2016,19599,Automatic,33197,Diesel,2.1
244, C Class,2015,15604,Manual,31435,Diesel,2.1
245, C Class,2018,25000,Semi-Auto,11150,Diesel,2.1
246, C Class,2019,26449,Semi-Auto,7382,Petrol,1.5
247, C Class,2016,18745,Automatic,26344,Diesel,2.1
248, C Class,2019,28000,Semi-Auto,1999,Petrol,2.0
249, C Class,2018,23995,Automatic,14876,Petrol,2.0
250, C Class,2017,21291,Automatic,10398,Petrol,2.0
251, C Class,2018,23995,Automatic,7200,Petrol,2.0
252, C Class,2016,22624,Semi-Auto,10271,Petrol,2.0
253, C Class,2019,25849,Semi-Auto,6685,Petrol,1.5
254, C Class,2019,25995,Automatic,10051,Diesel,2.0
255, C Class,2017,17990,Automatic,37000,Diesel,2.1
256, C Class,2019,25199,Semi-Auto,15238,Diesel,2.0
257, C Class,2015,16299,Automatic,25958,Diesel,2.1
258, C Class,2015,14998,Semi-Auto,38671,Diesel,2.1
259, C Class,2019,24789,Automatic,428,Petrol,1.5
260, C Class,2019,19899,Semi-Auto,13359,Petrol,1.5
261, C Class,2019,28990,Automatic,2501,Diesel,2.0
262, C Class,2019,24944,Automatic,13538,Diesel,2.0
263, C Class,2019,25949,Semi-Auto,12582,Diesel,2.0
264, C Class,2016,16500,Automatic,51936,Diesel,2.1
265, C Class,2019,31450,Semi-Auto,5104,Diesel,2.0
266, C Class,2019,32980,Automatic,2000,Diesel,2.0
267, C Class,2017,19999,Semi-Auto,47000,Diesel,2.1
268, C Class,2019,36999,Automatic,499,Petrol,1.5
269, C Class,2019,28499,Automatic,2646,Petrol,1.5
270, C Class,2019,29799,Semi-Auto,11576,Diesel,2.0
271, C Class,2016,15990,Semi-Auto,26957,Diesel,1.6
272, C Class,2019,25299,Semi-Auto,10211,Petrol,1.5
273, C Class,2019,33149,Semi-Auto,9000,Diesel,2.0
274, C Class,2017,19498,Semi-Auto,46889,Hybrid,2.0
275, C Class,2016,15498,Semi-Auto,73582,Diesel,2.1
276, C Class,2016,18232,Semi-Auto,33085,Hybrid,2.0
277, C Class,2019,20599,Semi-Auto,13004,Diesel,2.0
278, C Class,2019,25980,Semi-Auto,12285,Petrol,1.5
279, C Class,2019,24490,Semi-Auto,6877,Diesel,2.1
280, C Class,2019,27199,Semi-Auto,5926,Diesel,2.0
281, C Class,2019,24680,Semi-Auto,10795,Petrol,1.5
282, C Class,2016,11000,Manual,100950,Diesel,2.1
283, C Class,2020,35900,Automatic,3000,Diesel,2.0
284, C Class,2018,22805,Automatic,11259,Diesel,2.1
285, C Class,2019,23199,Manual,2000,Diesel,1.6
286, C Class,2019,29849,Semi-Auto,2303,Petrol,2.0
287, C Class,2015,14899,Semi-Auto,46000,Diesel,2.1
288, C Class,2019,30294,Automatic,500,Diesel,2.0
289, C Class,2016,15249,Automatic,30954,Petrol,2.0
290, C Class,2019,27850,Semi-Auto,10936,Diesel,2.0
291, C Class,2019,32940,Automatic,4999,Petrol,1.5
292, C Class,2019,19750,Semi-Auto,13695,Diesel,2.0
293, C Class,2016,29780,Semi-Auto,26057,Petrol,3.0
294, C Class,2019,33995,Automatic,4788,Petrol,2.0
295, C Class,2015,12800,Automatic,70804,Diesel,2.1
296, C Class,2017,23572,Automatic,18495,Diesel,2.1
297, C Class,2017,16991,Semi-Auto,29907,Diesel,2.1
298, C Class,2013,9798,Semi-Auto,60948,Diesel,2.1
299, C Class,2019,24724,Semi-Auto,10545,Petrol,1.5
300, C Class,2019,26599,Automatic,1566,Diesel,1.6
301, C Class,2019,29749,Semi-Auto,6118,Diesel,2.0
302, C Class,2017,18801,Semi-Auto,14812,Diesel,1.6
303, C Class,2017,21535,Automatic,21149,Diesel,2.1
304, C Class,2019,29900,Semi-Auto,1342,Petrol,2.0
305, C Class,2019,37790,Semi-Auto,2200,Petrol,3.0
306, C Class,2016,19250,Semi-Auto,32506,Diesel,2.1
307, C Class,2019,20699,Semi-Auto,13628,Diesel,2.0
308, C Class,2019,32998,Semi-Auto,2258,Petrol,1.5
309, C Class,2015,16495,Automatic,41130,Hybrid,2.0
310, C Class,2005,2495,Automatic,110461,Diesel,2.1
311, C Class,2016,16991,Semi-Auto,28500,Diesel,2.1
312, C Class,2016,17992,Semi-Auto,14160,Diesel,2.1
313, C Class,2019,24799,Semi-Auto,13012,Petrol,1.5
314, C Class,2017,20990,Automatic,20000,Diesel,2.1
315, C Class,2019,27000,Automatic,1196,Petrol,1.5
316, C Class,2019,32699,Automatic,2100,Diesel,2.0
317, C Class,2017,24880,Automatic,14843,Diesel,2.1
318, C Class,2017,18865,Automatic,15021,Diesel,2.1
319, C Class,2018,23995,Semi-Auto,12137,Diesel,2.1
320, C Class,2019,30995,Automatic,1499,Diesel,2.0
321, C Class,2014,13799,Automatic,78966,Diesel,2.1
322, C Class,2017,17990,Semi-Auto,19627,Petrol,2.0
323, C Class,2016,19000,Semi-Auto,37956,Hybrid,2.0
324, C Class,2019,27499,Semi-Auto,3325,Diesel,1.6
325, C Class,2019,29899,Automatic,4500,Diesel,2.0
326, C Class,2019,35980,Semi-Auto,1844,Diesel,2.0
327, C Class,2015,14150,Semi-Auto,60597,Diesel,2.1
328, C Class,2019,26899,Semi-Auto,2000,Petrol,1.5
329, C Class,2019,40000,Semi-Auto,4504,Petrol,3.0
330, C Class,2019,31529,Automatic,1000,Diesel,2.0
331, C Class,2019,19899,Semi-Auto,13690,Petrol,1.5
332, C Class,2019,39400,Semi-Auto,11838,Petrol,3.0
333, C Class,2017,16491,Semi-Auto,32434,Diesel,2.1
334, C Class,2019,29480,Semi-Auto,6096,Petrol,1.5
335, C Class,2016,35995,Automatic,31719,Petrol,4.0
336, C Class,2019,31699,Semi-Auto,3358,Diesel,2.0
337, C Class,2019,29650,Automatic,4501,Diesel,2.0
338, C Class,2017,20990,Semi-Auto,30447,Diesel,2.1
339, C Class,2018,18599,Automatic,32854,Diesel,2.1
340, C Class,2017,20200,Automatic,25449,Diesel,2.1
341, C Class,2017,17490,Automatic,31000,Diesel,2.1
342, C Class,2019,33842,Semi-Auto,3950,Petrol,2.0
343, C Class,2016,18790,Semi-Auto,25441,Hybrid,2.0
344, C Class,2019,29980,Semi-Auto,3049,Diesel,2.0
345, C Class,2019,34099,Semi-Auto,1000,Petrol,2.0
346, C Class,2018,23480,Automatic,7351,Petrol,2.0
347, C Class,2019,20399,Semi-Auto,14111,Diesel,2.0
348, C Class,2019,23499,Manual,3162,Petrol,1.6
349, C Class,2017,18399,Semi-Auto,23393,Diesel,2.1
350, C Class,2014,13251,Semi-Auto,56219,Diesel,2.1
351, C Class,2018,26748,Automatic,17970,Diesel,2.1
352, C Class,2019,34790,Semi-Auto,5298,Diesel,2.0
353, C Class,2018,18998,Automatic,15000,Diesel,2.1
354, C Class,2017,22495,Automatic,19779,Diesel,2.1
355, C Class,2016,18200,Automatic,42000,Diesel,2.1
356, C Class,2019,26199,Semi-Auto,9690,Petrol,1.5
357, C Class,2017,13321,Semi-Auto,61305,Diesel,1.6
358, C Class,2014,12990,Manual,52000,Diesel,2.1
359, C Class,2019,27999,Automatic,7901,Petrol,2.0
360, C Class,2019,19394,Semi-Auto,14203,Petrol,1.5
361, C Class,2017,21400,Automatic,54500,Diesel,2.1
362, C Class,2016,18600,Automatic,32897,Diesel,2.1
363, C Class,2019,28999,Semi-Auto,6700,Diesel,2.0
364, C Class,2018,19995,Semi-Auto,19870,Petrol,2.0
365, C Class,2019,26499,Semi-Auto,7795,Petrol,1.5
366, C Class,2019,38289,Semi-Auto,1000,Diesel,2.0
367, C Class,2015,15890,Semi-Auto,54000,Diesel,2.1
368, C Class,2013,9490,Semi-Auto,41921,Petrol,1.6
369, C Class,2017,16690,Semi-Auto,30199,Diesel,2.1
370, C Class,2017,18495,Semi-Auto,22994,Petrol,2.0
371, C Class,2015,11000,Manual,83193,Diesel,2.1
372, C Class,2016,17399,Semi-Auto,53000,Diesel,2.1
373, C Class,2017,25995,Automatic,16000,Diesel,2.1
374, C Class,2020,31980,Semi-Auto,16,Diesel,2.0
375, C Class,2015,17290,Semi-Auto,24923,Diesel,2.1
376, C Class,2019,36539,Semi-Auto,1000,Diesel,2.0
377, C Class,2019,23740,Semi-Auto,13046,Diesel,2.0
378, C Class,2016,21440,Semi-Auto,26600,Diesel,2.1
379, C Class,2014,16300,Automatic,30819,Petrol,2.0
380, C Class,2016,14398,Semi-Auto,29002,Diesel,2.1
381, C Class,2017,24998,Semi-Auto,15754,Diesel,2.1
382, C Class,2018,21430,Semi-Auto,7011,Diesel,1.6
383, C Class,2019,20299,Semi-Auto,14375,Diesel,2.0
384, C Class,2019,31699,Semi-Auto,3723,Diesel,2.0
385, C Class,2019,30980,Semi-Auto,3254,Diesel,2.0
386, C Class,2019,42999,Semi-Auto,8751,Petrol,3.0
387, C Class,2016,13950,Manual,48128,Diesel,2.1
388, C Class,2017,19000,Semi-Auto,21657,Diesel,2.1
389, C Class,2019,25799,Semi-Auto,13571,Diesel,2.0
390, C Class,2019,25990,Automatic,13275,Diesel,2.0
391, C Class,2019,32499,Semi-Auto,1303,Petrol,1.5
392, C Class,2016,13600,Automatic,71077,Diesel,2.1
393, C Class,2014,14990,Automatic,54000,Diesel,2.1
394, C Class,2019,20495,Semi-Auto,13742,Diesel,2.0
395, C Class,2016,16498,Semi-Auto,27034,Diesel,1.6
396, C Class,2016,30500,Automatic,18648,Petrol,3.0
397, C Class,2017,19199,Semi-Auto,25639,Diesel,2.1
398, C Class,2019,38999,Semi-Auto,3220,Petrol,3.0
399, C Class,2019,25699,Semi-Auto,11744,Petrol,1.5
400, C Class,2017,22852,Semi-Auto,21750,Diesel,2.1
401, C Class,2017,14500,Automatic,48280,Diesel,1.6
402, C Class,2012,11000,Automatic,43426,Petrol,1.6
403, C Class,2017,19795,Semi-Auto,21000,Diesel,2.1
404, C Class,2019,24790,Automatic,10637,Diesel,2.0
405, C Class,2012,5250,Automatic,170000,Diesel,2.1
406, C Class,2017,19995,Semi-Auto,36814,Petrol,2.0
407, C Class,2018,16600,Automatic,29296,Diesel,2.1
408, C Class,2016,17999,Automatic,42271,Diesel,2.1
409, C Class,2016,15300,Automatic,48507,Diesel,2.1
410, C Class,2015,14490,Automatic,64000,Diesel,2.1
411, C Class,2019,24980,Semi-Auto,6894,Petrol,1.5
412, C Class,2016,14000,Automatic,45000,Diesel,2.1
413, C Class,2018,24750,Automatic,14788,Petrol,1.5
414, C Class,2017,25000,Automatic,9507,Petrol,2.0
415, C Class,2013,11298,Semi-Auto,37964,Petrol,1.6
416, C Class,2013,8099,Automatic,86136,Diesel,2.1
417, C Class,2016,16950,Automatic,51700,Hybrid,2.0
418, C Class,2017,20990,Automatic,18000,Diesel,2.1
419, C Class,2015,13900,Automatic,57081,Diesel,2.1
420, C Class,2017,34981,Semi-Auto,22056,Petrol,3.0
421, C Class,2014,15499,Semi-Auto,34527,Diesel,2.1
422, C Class,2019,28900,Automatic,6000,Petrol,2.0
423, C Class,2017,23056,Automatic,23378,Diesel,2.1
424, C Class,2019,12900,Manual,3000,Diesel,1.5
425, C Class,2019,28351,Automatic,555,Diesel,2.0
426, C Class,2018,22900,Automatic,6200,Petrol,1.5
427, C Class,2018,23498,Semi-Auto,17093,Diesel,2.1
428, C Class,2014,15495,Semi-Auto,38544,Diesel,2.1
429, C Class,2018,22199,Semi-Auto,32809,Diesel,2.1
430, C Class,2019,40599,Semi-Auto,8000,Petrol,3.0
431, C Class,2016,17299,Semi-Auto,66500,Diesel,2.1
432, C Class,2019,19999,Semi-Auto,13591,Petrol,1.5
433, C Class,2019,25749,Semi-Auto,13789,Diesel,2.0
434, C Class,2014,15990,Automatic,40997,Diesel,2.1
435, C Class,2019,23000,Semi-Auto,14627,Petrol,1.5
436, C Class,2019,25999,Semi-Auto,5910,Petrol,1.5
437, C Class,2019,36199,Semi-Auto,9800,Petrol,3.0
438, C Class,2019,20699,Semi-Auto,10037,Diesel,2.1
439, C Class,2016,15699,Semi-Auto,30301,Diesel,2.1
440, C Class,2019,26499,Semi-Auto,12781,Diesel,2.0
441, C Class,2016,18300,Automatic,34295,Hybrid,2.0
442, C Class,2019,27995,Automatic,5783,Diesel,2.0
443, C Class,2016,21698,Semi-Auto,15804,Hybrid,2.0
444, C Class,2019,29650,Automatic,5653,Diesel,1.6
445, C Class,2019,26990,Semi-Auto,1237,Petrol,1.5
446, C Class,2016,16499,Semi-Auto,35459,Diesel,2.1
447, C Class,2016,19498,Semi-Auto,22803,Diesel,2.1
448, C Class,2016,15391,Manual,9578,Diesel,2.1
449, C Class,2019,29699,Semi-Auto,1906,Petrol,1.5
450, C Class,2019,34480,Semi-Auto,3446,Petrol,1.5
451, C Class,2019,26980,Semi-Auto,7721,Petrol,1.5
452, C Class,2013,9700,Automatic,57801,Diesel,2.1
453, C Class,2017,18498,Semi-Auto,48404,Hybrid,2.0
